Name,Nationality
Abdullah,India
Aamani,India
Aanaahad,India
Yashika Aannand,India
Aarathi,India
Varun Raymond Aaron,India
Kartik Tiwari,India
Vasudev Kalkunte Aatre,India
Abbas,India
Kaunain Abbas,India
Rahman Abbas,India
Anvita AbbiAbbi ,India
Sumaira Abdulali ,India
Palliyulla Kariat Abdulla Koya,India
Iqbal Abdulla,India
Alisha Abdullah,India
Farooq Abdullah ,India
Abdullah,India
Omar Abdullah,India
Sabumon Abdusamad,India
Syed Taqi Hassan Abedi,India
Justice Abhay Shreeniwas Oka,India
Uday Kumar Abhay,India
Amrit Abhijat,India
Abhijith,India
Abhilash Pillai,India
Abhimanyu,India
Kanwar Abhinay,India
Abhinaya Anand,India
Jayasoorya Abhiram,India
Abhirami,India
Abhishek Agarwal,India
Abhishek Sharma,India
Abhishek Sharma,India
Nakul Abhyankar,India
Sanjeev Abhyankar,India
Jaishri Abichandani,India
Syed Abid Ali pronunciationÂ ,India
Intezar Husain Abidi,India
Naheed AbidiNaheed Abidi,India
Love Ablish,India
Sara Aboobacker,India
Menamuna Kassim Mohamed Aboobakar,India
Minimol Abraham ,India
Amit Abraham,India
Gondi Theodore Abraham,India
John Abraham ,India
Joseph Ganapathiplackal Abraham,India
Joy Abraham,India
Nileena Abraham,India
Rajesh K Abraham,India
Raju Abraham,India
Shiny Wilson,India
Sunnykutty Abraham,India
Thottathimyalil Mathew Abraham,India
Vinu AbrahamBornNedungadappallyLanguageMalayalamNationalityIndianNotable worksNastanaayikaNotable awardsState Bank of Travancore best short story award,India
Collin Abranches,India
Joaquim Abranches,India
Abner Abreu Castro,India
Mohit Abrol ,India
Vijay Kumar Abrol,India
Alfred Absolem,India
Aashiq Abu,India
Abul Hasan Siddiqi,India
Mamatha Achanta,India
Janhavi Acharekar  ,India
Basudeb Acharia,India
Kaushal Acharjee,India
Amitav Acharya,India
Anupam,India
Anuradha Acharya,India
B P Acharya,India
Bondita Acharya,India
Deepak Acharya,India
Dhruvi Acharya,India
Vanikavi,India
Nand Kishore Acharya,India
Padmanabha Balakrishna Acharya,India
Prabir Acharya,India
Prahlad Acharya,India
Prasanna Acharya,India
Rajeshwar AcharyaBornVaranasi,India
Salil Acharya,India
Subrat Kumar Acharya,India
Udyavara Madhava Acharya,India
Viral V Acharya,India
Subhrangsu Kanta Acharyya,India
George Achica,India
Sumesh Achuthan,India
Little Mermaid,India
Velikkakathu Sankaran Achuthanandan,India
Mary Adair,India
Nancy Adajania,India
Kashiling Adake,India
John Adams,India
Gautam Shantilal Adani,India
Karan Gautam Adani,India
Pranav Vinodbhai Adani,India
Vinod Shantilal Shah Adani,India
Shashidhar Adapa,India
Suruchi Adarkar,India
Taran Adarsh,India
Sebastian Adayantharath ,India
Joseph Kwahu Duah Addai,India
Raymond Jerry Peter Adduono,India
Mohammad Adeeb,India
Raja Adeel,India
Haneef Adeni,India
Victor Adeyanju,India
Hasmukh Adhia,India
Baskaran Adhiban,India
Krishnendu Adhikari,India
Suvendu Adhikari,India
Manabendra Adhikary,India
Sankar Adhya,India
Ramkishan Adig,India
Rakesh Adiga,India
Pagal Adilabadi,India
V Adimurthy,India
Badathala Adisekhar,India
Adithya Menon,India
Kumar Aditya,India
Pradeep Kumar Jain 'Aditya',India
V N Aditya,India
Yogi Adityanath,India
Rohan Adnaik,India
Adrit Roy,India
Alia Advani,India
Lal Krishna Advani,India
Advani,India
Pankaj Arjan Advani,India
Camo Camo Musiq,India
Laxman Aelay,India
Al Afalava,India
Dale Garfieldson Africa,India
Zoya Afroz,India
Anu Aga,India
Najib Aga,India
Ajit Bhalchandra Agarkar pronunciationÂ ,India
Aditi Agarwal ,India
Aditya Agarwal,India
Alok Agarwal,India
Anirudh  Agarwal,India
Avinash Kumar Agarwal,India
Dhirendra Agarwal,India
Dinesh Agarwal,India
Himalay Agarwal,India
Karan Agarwal,India
Laxmi Agarwal ,India
Malini Agarwal,India
Mayank Anurag Agarwal,India
Pramod Agarwal,India
Premlata Garg,India
Radhe,India
Ravi P Agarwal,India
S S Agarwal,India
Samridh Sunil  Agarwal,India
Sandhya Agarwal,India
Shubham Agarwal,India
Smita Agarwal,India
Sonia Agarwal,India
Tanmay Dharamchand Agarwal,India
Tulsi Agarwal,India
Varun Agarwal,India
Parmeshwar Kumar Agarwalla,India
Ashutosh Agashe,India
Mandar Agashe,India
Mohan Agashe,India
Stan Ageira,India
Nidhhi Agerwal,India
Amita Aggarwal,India
Anita Aggarwal ,India
Bhavish Aggarwal,India
Jai Bhagwan Aggarwal,India
K K Aggarwal,India
Kajal Aggarwal,India
Mira Aggarwal,India
Neha Aggarwal Sharma,India
Raj Kumar Aggarwal DL,India
Rakesh Aggarwal,India
Umesh Aggarwal,India
Zara Khan,India
Anita Agnihotri,India
Apurva Agnihotri,India
Atul Agnihotri,India
Dharambir Agnihotri,India
Neeraj Agnihotri,India
Rati Agnihotri,India
Agnivesh,India
Vidup Agrahari,India
Amar Agrawal ,India
Anurag Agrawal,India
Banwari Lal Agrawal,India
Manindra Agrawal,India
Niketa Agarwal,India
Om Prakash Agrawal,India
Praveen Agrawal,India
Purushottam Agrawal,India
Rajendra Agrawal,India
Ramesh Agrawal,India
Ravi Agrawal,India
Roma Agrawal,India
Subhash Chandra Agrawal,India
Sunil K Agrawal,India
Vivek Agrawal,India
Javed Naim Agrewala,India
Colin Aguiar,India
T P Salim Ahamed,India
M P Ahammed,India
Niranjani Ahathiyan ,India
Abhina AherBornAbhijeet,India
Rahul Daulatrao Aher,India
Hansraj Gangaram Ahir,India
Sachin ahir,India
Dhanaji Sitaram Ahire,India
Gajendra Vitthal Ahire,India
Anand Ahirwar,India
Jaideep Ahlawat,India
Mohit Ahlawat,India
Santosh Ahlawat,India
Thomas R Ahlersmeyer,India
Major Hari Pal Singh Ahluwalia,India
Harry Ahluwalia ,India
Jitendarjit Singh Ahluwalia,India
Kiranjit Ahluwalia,India
Montek Singh Ahluwalia,India
Surinderjeet Singh Ahluwalia,India
Shabir Ahluwalia,India
Sukhpal Singh Ahluwalia,India
Akbar Ahmad,India
He,India
Sharfuddin Ahmad,India
Syed Bashir Ahmad,India
Uvais Ahmad,India
Abrar Ahmed,India
Abrar Ahmed,India
Aftab Ahmed Khan,India
Anwar Ahmed,India
Atique Ahmed,India
Ayaz Ahmed,India
Fabid Ahmed,India
Faiz Ahmed,India
Faiz Ahmed,India
Farman Ahmed,India
Habeeb Ahmed,India
Hafiz Bashir Ahmed,India
Haseen Ahmed,India
Hussain Ahmed,India
I Mueenuddin,India
Imtiyaz Ahmed,India
Ishfaq Ahmed,India
Khaleel Ahmed,India
Chaudhary Mateen Ahmed,India
Mohammed Ahmed,India
Nasir Ahmed,India
Naved Ahmed,India
Parvez Ahmed,India
Rafi Ahmed,India
Rajjakuddin Ahmed,India
Saarah Hameed Ahmed,India
Safi Ahmed,India
Sahab Uddin Ahmed,India
Saleem Ahmed,India
Shahbaz Ahmed,India
Shaikh Shamim Ahmed,India
Shakeeb Ahmed,India
Shakeel Ahmed,India
Shoaib Ahmed,India
Shoaib Ahmed,India
Syed Shoaib Ahmed,India
Tarif Ahmed,India
Waseem Ahmed,India
Eklak Ahmid,India
Manzoor Ahtesham,India
Eva Shirali,India
Naman P Ahuja,India
Neha Ahuja,India
Ravindra K Ahuja,India
Shiney Ahuja,India
Musaif Aijaz,India
Ayesha Supriya Aiman,India
James Aiono,India
Shanta Meena Bhaskar,India
Chandraprabha Aitwal,India
Len Aiyappa,India
Neravanda Aiyappa,India
Pramila Gudanda Aiyappa,India
Mani Shankar Aiyar,India
Swaminathan S Anklesaria Aiyar,India
B Ajaneesh Loknath,India
Parakulangara Thazathel Ajay Mohan,India
Ajay Atul,India
Ayyappanpillai Ajayagosh,India
Krishnan Ajayan Nair,India
Guharam Ajgalle,India
Manohar Trimbak Ajgaonkar,India
Kavya Ajit,India
Alka,India
Devi Ajith,India
Kunnikkal Ajitha,India
Abdur Rahim Ajmal,India
Badruddin Ajmal,India
Garima Ajmani,India
Rattan Singh Ajnala,India
Amit Kadel,India
Akash Dasnayak,India
Annabathula Akash,India
Aravindhar Singh,India
Megha Akash,India
S Akash ,India
Akassh Sen,India
Mobasher Jawed  Akbar,India
Anant Rao  Akela,India
Ramlal Akela,India
Rahul Akerkar,India
M F M Abdul Razak,India
Balachandra Akhil,India
Asheer Akhtar,India
Azeem Akhtar,India
Farhan Akhtar,India
Ikram Akhtar,India
Jamshed Akhtar,India
Jasia Akhtar,India
Javed Akhtar,India
Syed Masood Akhtar,India
Mumtaz Akhtar,India
Salman Akhtar,India
Zoya Akhtar,India
Justice Akil Abdulhamid Kureshi,India
Halil AkÄ±ncÄ±,India
Anil Akkara,India
Nigel Akkara,India
Akhil Akkineni,India
Amala Mukherjee,India
Samantha Akkineni,India
Ashwini Chidananda Shetty Akkunji,India
Snigdha Akolkar,India
Balkrishan Akotkar,India
Rustam Akramov,India
KC Akshay,India
S L Akshay,India
Anjori Alagh,India
Yoginder K Alagh,India
Muthuvel Karunanidhi Alagiri,India
Aftab Alam,India
Aftabuddin Alam,India
Arish Najme Alam,India
Badre Alam,India
Mahbub Alam,India
Md Tauseef Alam ,India
Mujahid Alam,India
Omar Alam,India
Roshan Alam,India
Sams Alam,India
Sufiyan Alam,India
Syed Rafat Alam,India
Umar Alam,India
Alambadi,India
Anaka Alankamony,India
Joy Alappat,India
Kali Alaudeen,India
Raegan Albarnas,India
Alan  Albert,India
Michael Joseph  Albrecht,India
Anil Alexander Aldrin,India
Satish Vasant Alekar,India
Felix Alemao,India
Maran Mar George Cardinal Alencherry,India
Laluchayan,India
Alexander IAS,India
Sherman Joseph Alexie,India
DeJuan R Alfonzo,India
Ali,India
Syed Abbas Ali,India
Akhtar Ali,India
Ali Aakiv,India
Amzad Ali,India
Anwar Ali,India
Anwar Ali,India
known Anvar Ali,India
Askar Ali,India
Azmath Ali,India
Babar Ali,India
Basit Ali,India
Ekram Ali,India
Haidar Ali,India
Syed Hyder Ali,India
Imtiaz Ali,India
Imtiaz Ali,India
Javed Hussain,India
Jaweed Ali,India
Kunwar Danish Ali,India
Lucky Ali,India
Mast Ali,India
Mehjoor Ali Sofi,India
Mohamed Ali,India
Mohammed Mahmood Ali,India
Mosaraf Ali,India
Mudasir Ali,India
Muzaffar Ali,India
Nafisa Ali ,India
Omar Hamid Ali,India
Pucky Ali,India
Rahim Ali,India
Rubina Ali,India
Sabir Ali,India
Sabir Ali,India
Sabir Ali,India
Shabbir Ali,India
Shabbir Ali,India
Sharmin Ali,India
Shahwar Ali,India
Sujayath Ali,India
Syed Ali,India
U Sharaf Ali ,India
Zafar Ali,India
Zaheer Reaz Ali,India
Zeeshan Ali,India
Shamil Aliev,India
Ebrahim Alkazi,India
Krishnaswami Alladi,India
David Walter Allan,India
Amal Allana,India
Fazila Allana,India
Andrew Neal Allanson,India
RaÃºl Enrique Allegre RodrÃ­guez,India
Robert Gray Allen,India
Howard Arthur Allen,India
Ian Basil Alston Allen,India
Allen has three children,India
Allen,India
Omari Sheldon Allen,India
Roderick Bernet Allen,India
Aaliyah Alleyne,India
Dale LeBeau Allred,India
Allu Aravind pronunciationÂ ,India
Keenan Almeida,India
Santos Alomar Conde,India
Aubrey Aloysius,India
Bobby Aloysius,India
Alpesh dhakan,India
Stephen Alter,India
She,India
Ronald J Alting,India
Joy Alukkas,India
Shoma Bose,India
Margaret Alva,India
Niret Alva,India
Shefali Alvares,India
Amal Das,India
Jerome Thomas Veleeparambil,India
Alfred C Aman,India
Ashutosh Aman,India
Shahabaz Aman,India
Zeenat Aman,India
Malika Amar Sheikh,India
Amar Singh,India
Devulapalli Amar,India
Kunwar Amarjeet Singh,India
Sanjay Amar,India
Prem Kumar Gangai Amaren,India
Mohinder â€œJimmyâ€ Amarnath Bhardwaj pronunciationÂ ,India
Palani Amarnath,India
Rajinder Amarnath,India
Surinder Amarnath Bhardwaj pronunciationÂ ,India
Anil Dhirubhai Ambani,India
Mukesh Dhirubhai Ambani,India
Nita Mukesh Ambani,India
Tina Anil Ambani,India
Madhu Ambat,India
Anandraj Yashwant Ambedkar,India
Prakash Yashwant Ambedkar,India
Mona Ambegaonkar,India
Aarya Ambekar,India
Abhishek Ambekar,India
Padmaja Thampi,India
Alex Ambrose,India
Anisha Ambrose,India
A R Ameen,India
Ameer Sultan,India
Ameeta,India
Aldrich Hazen  Ames,India
Jyoti Kisange Amge,India
Karan Amin,India
Narhari Amin,India
Mohammad Amir Khan,India
Lubna Amir,India
Boddupalli Amit,India
Rasheed Amjad,India
Riyaaz Amlani,India
Meenakshi Amma,India
C Kolandai Ammal,India
Abhirami,India
Anupam Amod,India
Sumiran Amonkar,India
Suresh Amonkar,India
Lowell Edwin Amos,India
Pravin Kalyan Amre,India
Amrinder Singh,India
Sukhvinder Amrit,India
MÄtÄ AmritÄnandamayÄ«,India
Anand Amritraj,India
Prakash Amritraj,India
Stephen Amritraj,India
Vijay Amritraj,India
Kanabhai S Amrutiya,India
Merrie Amsterburg,India
C S Amudhan,India
Amudhan R P,India
Amulya,India
V Anamika,India
P Sachidanandan,India
Anand Govindasamy,India
A V Anand,India
Ambika Anand,India
Anurag Anand,India
Delhi,India
Chetan Anand Buradagunta,India
Gaggan Anand,India
Harjit Singh Anand,India
Jagrit Anand,India
Javed Anand,India
K V Anand,India
Kajarya,India
H Anand,India
Nikita Anand,India
Nitya Anand,India
Prem Anand,India
Priya Anand,India
RK Anand,India
Ram Kumar Anand,India
Ruchi Anand,India
Satyapal Anand,India
Shoma Anand,India
Subramanian Anand,India
Suneil Anand,India
Suparna,India
Tinnu Anand,India
Vi Anand,India
Vijay Anand,India
Vinay Anand,India
Viswanathan  Anand,India
Krishnan Anandan,India
K Murugesan Anandan,India
Ponnabeth Mambally Anandan,India
Anandhi,India
Anant Kunte,India
Anant Punyamurthula,India
Padmavathy Ananthagopalan,India
Karumanaseri Narayanaiyer Ananthapadmanabhan,India
Anantharamu Krishnappa,India
Anil Ananthaswamy,India
Ayilya Gopalakrishnan Nair,India
Muhammed Anas Yahiya,India
Dansari Anasuya commonly known as Seethakka,India
Anaswara Rajan,India
Rajendra Kumar Anayath,India
K P Anbalagan,India
N Anbuchezhian,India
Jo Paul Ancheri,India
Brady Kevin Anderson,India
Brandon Anderson,India
Personal detailsBornChicago,India
Donald Cortez Anderson,India
Ellen Anderson,India
Willie Lee  Anderson,India
Lawrence Andrew Anderson,India
Sam Anderson,India
Ganpat Andhalkar,India
Ajit Andhare,India
Suhail Andleev,India
Michael Andrews,India
Thomson Andrews,India
Rosshan Andrrews,India
Shane Andrus,India
Pallam Anfal,India
Suresh Channabasappa Angadi,India
Mar Jacob Angadiath,India
Soram Poirei Anganba,India
Patrick Aaron Angerer,India
Ravindranath Angre,India
Sandeep Angurala,India
Anil,India
Anil Chawan,India
Anil Swarup,India
Balchander Anirudh,India
Anirudhaikkanth,India
Atul Kumar Anjaan,India
Udai Lal Anjana,India
Subbaiah Anjaparavanda,India
Anjaneyulu,India
Saba Anjum Karim,India
Arati Ankalikar-Tikekar,India
Saniya Anklesaria,India
Salil Ashok Ankola pronunciationÂ ,India
Bhagwant Anmol,India
Karamjit Anmol,India
Semmalar Annam,India
Chitra Shaji Kailas,India
Rajula Annie Thomas,India
Baby Annie,India
Anupama Krishnaswami,India
Anoop Gupta,India
Afzal Ansari,India
Furqan Ansari,India
Hayat Ansari,India
Imran Raza Ansari,India
Mohammad Hamid Ansari,India
Mukhtar Ansari,India
Syed Abdul Qavi,India
Mohammad Salim Ansari à¤®à¥‹à¤¹à¤®à¥â€à¤®à¤¦ à¤¸à¤¾à¤²à¤¿à¤® à¤…à¤‚à¤¸à¤¾à¤°à¥€ Ù…Ø­Ù…Ø¯ Ø³Ù„ÛŒÙ… Ø§Ù†ØµØ§Ø±ÛŒ,India
Shahensha Ansari,India
Sibakatullah Ansari,India
Umar Ansari,India
Zeeshan Ansari,India
Anshul Trivedi,India
Jaggulal Anshul,India
Karan Anshuman,India
Manoj D,India
Creson Antao,India
Perumparambath Anthaf,India
Sathyan Anthikad,India
Alvin Anthons,India
Lewellyn Anthony Gonsalvez,India
Hamish Lundmax Anthony,India
Junie Massiah Anthony,India
Smitha Antony,India
Akash Antil,India
Mandeep Antil,India
Seema Punia-Antil,India
Tarsem Antil,India
K Jennitha Anto,India
Rino Anto,India
He,India
Sam Anton,India
Hendry Antonay,India
Debbie AntonelliBornCary,India
Dominic Anthony  Antonelli,India
Robert Antoni,India
Arackaparambil Kurien Antony,India
Ancy Antony,India
Anto Antony Punnathaniyil,India
Grace Antony,India
Jiju Antony,India
George Antonysamy,India
Anubha,India
Anuj Sharma,India
Anupama TV,India
She,India
Anurag Singh,India
Anusree Nair,India
PV Anwar,India
Anwar,India
Ali Anwar Ansari,India
Tariq Anwar,India
Tariq Anwar,India
Anwesha Dutta,India
Anweshaa,India
Omak Apang,India
Baba Aparajith,India
Luis Eduardo Aponte Yuripe,India
Apoorva Gowda,India
Saikumar Apoorva ,India
Arjun Appadurai,India
M Appadurai,India
Kotarangada Prabhu  Appanna,India
Appasaheb Dharmadhikari,India
Malayath Appunni,India
Nayana Apte,India
Devdas Apte,India
Radhika Apte,India
Marathi,India
Pratiksha Apurv,India
Ayatullah Syed Aqeel-ul-Gharavi,India
DJ Aqeel ,India
Arif Aqueel,India
Gregori Emilio Aquino Valera,India
Alok Aradhe,India
Linda Susan Aranaydo,India
Vidya Avinash Arankalle,India
Salma Arastu,India
Anl Arasu,India
M Kalai Arasu,India
Arav,India
T S Aravind,India
Ramesh Aravind,India
Srinish Aravind,India
Anand Aravindakshan,India
Chithambaram Aravindh,India
JoAllyn Archambault,India
Brandon Archer,India
Colin Archibald,India
Shazneen Arethna,India
Ajitesh Argal,India
Ashok Chhaviram Argal,India
Angellica Aribam,India
Habeeb Zain Arif,India
Syed Mohammed Arif,India
Arjun,India
Arjun Bhati,India
A P Arjun,India
Mungala Arjun,India
PS Arjun,India
Sara Arjun ,India
Arjunan Nandakumar,India
'K R Arjunan,India
Vellayani Arjunan,India
Phillip Armour,India
Harvey Lee Armstrong,India
Vijay Armstrong,India
Michael Xavier Leo Arokiaraj,India
Mohit Aron,India
Amrita Arora,India
Apoorva Arora,India
Ashok Arora,India
